sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,19,500000,0.978095100478706,0.8998720000000001,0.16259440552626456,0.5,1.3,0.888888888888889
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,6,500000,0.14703852399689554,0.15016900000000008,0.1906960591462257,0.1,0.8,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,5,500000,0.9587985018233063,0.7998930000000001,0.168475088527953,0.1,1.0,0.625
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,13,500000,0.9676713650169425,1.2993760000000003,0.1634444602635347,0.4,1.0,0.6923076923076923
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,2,500000,0.7441120896072146,0.700024,0.1489136122432957,0.4,1.0,0.4285714285714285
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,16,500000,0.45118727793794433,0.5001150000000001,0.1758536990717503,0.1,0.8,0.7499999999999999
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.15,3,500000,0.839744983354598,0.7000029999999999,0.14895492771571703,0.25,1.15,0.21428571428571416
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,4,500000,-0.00011494685828577328,0.500004,0.12130127969724894,0.5,1.3,0.7058823529411765
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,0,500000,0.8431935395009081,0.5998899999999998,0.1508890536739421,0.1,1.0,0.5
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.2,12,500000,0.8106639686081528,0.6999839999999999,0.1489496550614555,0.3,1.1,0.28571428571428564
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,6,500000,0.6402268739978375,0.40004100000000015,0.13403996163515808,0.1,1.0,0.7500000000000001
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,5,500000,0.9997784689540724,0.9999760000000001,0.16553134950946466,0.4,1.0,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,8,500000,0.9587541190856325,0.7999300000000001,0.16846833694604885,0.1,1.0,0.0
